id,message,intent,issue_type,priority,entities,routing,suggested_action,response,kb_reference,category,is_ambiguous,requires_retrieval,paraphrase_of,notes
11,How do I update the mailing address on my account?,Account Update,Address Change,Low,mailing address,Support Team,Provide self-service instructions for address update,We'll provide self-service instructions for address update. You'll receive an update shortly.,,account_query,False,False,,
12,"I can't log into my online banking, it keeps saying my password is incorrect even after I reset it.",Technical Issue|Account Access,Login Failure,Medium,login failure|password reset,Technical Support,Verify account lock status and guide through reset flow,We'll verify account lock status and guide through reset flow. You'll receive an update shortly.,,account_query,False,False,,
13,I'd like to add my spouse as a joint account holder.,Account Update,Joint Account Request,Low,joint account holder,Account Services,Send joint account application requirements,"Per our Account Services Policy, both account holders need to be present (in person or verified video call) with government-issued ID, and a new joint account agreement must be signed by both parties.",kb-007,account_query,False,True,,Needs joint account eligibility policy
14,What's the minimum balance required to avoid a monthly maintenance fee?,Inquiry,Fee Policy Question,Low,minimum balance|maintenance fee,Support Team,Provide fee schedule information,"Per our Billing & Fees Policy, the monthly maintenance fee is waived with a $1,500 minimum daily balance or $500+ in monthly direct deposits.",kb-001,account_query,False,True,,Needs account fee schedule/FAQ
15,"I want to close my savings account, what's the process?",Account Closure,Account Closure Request,Low,account closure,Account Services,Provide account closure checklist and confirm identity,We'll provide account closure checklist and confirm identity. You'll receive an update shortly.,,account_query,False,False,,
16,Can you increase my daily ATM withdrawal limit? I need more cash for a trip.,Account Update,Limit Increase Request,Low,ATM withdrawal limit,Account Services,Verify identity and process limit increase request,We'll verify identity and process limit increase request. You'll receive an update shortly.,,account_query,False,False,,
17,I never received my new debit card that was supposed to arrive last week.,Complaint|Account Issue,Card Not Received,Medium,debit card|1 week delay,Support Team,Check card shipment status and offer reissue,We'll check card shipment status and offer reissue. You'll receive an update shortly.,,account_query,False,False,,
18,How do I set up automatic bill pay for my electricity provider?,Inquiry,Feature Setup Help,Low,automatic bill pay,Support Team,Walk through bill pay setup steps,We'll walk through bill pay setup steps. You'll receive an update shortly.,,account_query,False,False,,
19,I got married and need to update the name on my account and cards.,Account Update,Name Change Request,Low,name change,Account Services,Request legal documentation for name change,We'll request legal documentation for name change. You'll receive an update shortly.,,account_query,False,False,,
20,Is my account eligible for a premium tier upgrade with lower fees?,Inquiry,Tier Upgrade Question,Low,premium tier|fee eligibility,Support Team,Check eligibility criteria against account history,"Per our Interest & Credit Policy, Premium Tier requires a $10,000+ average balance over the trailing 3 months, or $2,000+ in monthly qualifying direct deposits. We'll check your account history against these thresholds.",kb-003,account_query,False,True,,Needs tier eligibility policy
21,"I think someone has access to my account, I'm seeing login attempts from a country I've never visited.",Fraud Suspicion|Security Concern,Suspicious Login Activity,Critical,unrecognized login|foreign country,Fraud Team,Lock account immediately and initiate security review,We'll lock account immediately and initiate security review. You'll receive an update shortly.,,fraud_suspicion,False,False,,
22,I got a text asking me to confirm my PIN to 'verify my account' — is this legit or a scam?,Fraud Suspicion|Inquiry,Phishing Attempt,High,SMS phishing|PIN request,Fraud Team,"Advise not to respond, report as phishing, monitor account","That message matches a known phishing pattern -- we never ask for your PIN via text. Per our Phishing & Social Engineering Response Policy, please don't respond or click any links; we're flagging your account for monitoring for the next 30 days.",kb-005,fraud_suspicion,False,True,,Needs phishing/scam awareness policy content
23,My card is still in my wallet but there are three transactions I don't recognize from this morning.,Fraud Suspicion,Unauthorized Transactions,Critical,3 unrecognized transactions,Fraud Team,"Freeze card, reverse pending charges, open fraud case","We'll freeze card, reverse pending charges, open fraud case. You'll receive an update shortly.",,fraud_suspicion,False,False,,
24,"Someone called claiming to be from the bank and asked for my full card number, I didn't give it but I'm worried.",Fraud Suspicion|Security Concern,Vishing Attempt,High,phone scam attempt,Fraud Team,"Confirm no data was shared, flag account for monitoring","We'll confirm no data was shared, flag account for monitoring. You'll receive an update shortly.",,fraud_suspicion,False,False,,
25,I lost my wallet with my debit card in it two hours ago.,Fraud Suspicion|Card Issue,Lost/Stolen Card,Critical,lost card|2 hours ago,Fraud Team,Immediately block card and issue replacement,We'll immediately block card and issue replacement. You'll receive an update shortly.,,fraud_suspicion,False,False,,
26,There's a new payee added to my bill pay list that I never set up.,Fraud Suspicion,Unauthorized Account Change,Critical,unrecognized payee added,Fraud Team,"Remove payee, lock account, investigate access logs","We'll remove payee, lock account, investigate access logs. You'll receive an update shortly.",,fraud_suspicion,False,False,,
27,I keep getting emails about password changes I never requested.,Fraud Suspicion|Security Concern,Suspicious Account Activity,High,unrequested password change emails,Fraud Team,Review account access logs and force password reset,We'll review account access logs and force password reset. You'll receive an update shortly.,,fraud_suspicion,False,False,,
28,My credit score dropped and I noticed a credit card account I never opened.,Fraud Suspicion,Identity Theft,Critical,unauthorized credit account|credit score drop,Fraud Team,Initiate identity theft investigation and credit freeze,"This matches our criteria for suspected identity theft. Per policy, we're opening a Critical-priority case, placing an internal credit freeze, and will provide you a case number and a checklist for reporting to external credit bureaus.",kb-006,fraud_suspicion,False,True,,Needs identity theft response policy
29,This is the third time I'm contacting support about the same issue and NOTHING has been fixed!,Complaint|Escalation Request,Repeated Unresolved Issue,High,3rd contact|unresolved issue,Support Team,Escalate to senior support and review case history,We'll escalate to senior support and review case history. You'll receive an update shortly.,,high_urgency,False,False,,
30,"I need my account unfrozen right now, I have rent due today and can't access any of my money.",Account Issue|Complaint,Account Freeze - Urgent,Critical,frozen account|rent due today,Support Team,Prioritize review of freeze reason and expedite resolution,We'll prioritize review of freeze reason and expedite resolution. You'll receive an update shortly.,,high_urgency,False,False,,
31,Your app crashed during my transfer and now I don't know if the money left my account or not.,Technical Issue|Billing Issue,Failed/Uncertain Transaction,High,app crash|transfer status unknown,Technical Support,Verify transaction status in backend logs immediately,We'll verify transaction status in backend logs immediately. You'll receive an update shortly.,,high_urgency,False,False,,
32,"I am extremely frustrated, this is unacceptable service and I want to speak to a manager immediately.",Complaint|Escalation Request,General Service Complaint,High,manager escalation request,Support Team,Escalate to supervisor and acknowledge frustration,We'll escalate to supervisor and acknowledge frustration. You'll receive an update shortly.,,high_urgency,True,False,,"No specific issue stated yet, needs clarification"
33,"My business payroll transfer failed and my employees haven't been paid, this needs to be fixed today.",Billing Issue|Complaint,Failed Business Transfer,Critical,failed payroll transfer|same-day deadline,Billing Department,Escalate to priority queue and trace failed transfer,We'll escalate to priority queue and trace failed transfer. You'll receive an update shortly.,,high_urgency,False,False,,
34,I've been on hold for over an hour and no one has helped me with my locked account.,Complaint|Account Access,Service Delay Complaint,High,1+ hour hold|locked account,Support Team,Expedite callback and resolve account lock,We'll expedite callback and resolve account lock. You'll receive an update shortly.,,high_urgency,False,False,,
35,The wire transfer I sent for my house closing hasn't arrived and closing is in 2 hours!,Billing Issue|Complaint,Time-Sensitive Wire Transfer,Critical,wire transfer|2 hour deadline|house closing,Billing Department,Escalate immediately to wire operations team,We'll escalate immediately to wire operations team. You'll receive an update shortly.,,high_urgency,False,False,,
36,"I'm beyond upset, your system charged me a late fee even though I set up autopay months ago.",Billing Issue|Complaint,Incorrect Late Fee,High,late fee|autopay enabled,Billing Department,Verify autopay logs and reverse fee if confirmed,"Per our Billing & Fees Policy, if autopay was active and the payment failed due to a system error, the late fee should be reversed automatically. We're verifying your autopay enrollment date against the payment log now.",kb-001,high_urgency,False,True,,Needs autopay/late fee policy
37,I need to update my phone number AND dispute a charge from yesterday.,Account Update|Billing Issue,Combined Request,Medium,phone number update|charge from yesterday,Support Team,Update contact info and open separate billing dispute,We'll update contact info and open separate billing dispute. You'll receive an update shortly.,,multi_intent,False,False,,
38,"Can you tell me my current balance, and also why my last two transfers took so long to process?",Inquiry|Complaint,Balance Inquiry + Delay Complaint,Low,balance inquiry|transfer delay x2,Support Team,Provide balance and investigate transfer processing times,We'll provide balance and investigate transfer processing times. You'll receive an update shortly.,,multi_intent,False,False,,
39,My card was declined at the store and I also want to know if I'm eligible for a credit limit increase.,Complaint|Inquiry,Card Decline + Limit Inquiry,Medium,card decline|credit limit inquiry,Support Team,Investigate decline reason and check limit increase eligibility,"Per our Interest & Credit Policy, you're eligible for a credit limit increase if your account is 6+ months old, has no late payments in the last 12 months, and utilization is below 50%. We'll check this alongside investigating the decline.",kb-003,multi_intent,False,True,,Needs credit limit increase eligibility policy
40,I want to close my old checking account and open a new savings account instead.,Account Closure|Account Opening,Account Migration Request,Low,close checking|open savings,Account Services,Process closure and new account opening together,We'll process closure and new account opening together. You'll receive an update shortly.,,multi_intent,False,False,,
41,"There's a fraudulent charge on my card, and separately I never got the reward points from last month's purchases.",Fraud Suspicion|Billing Issue,Fraud + Rewards Discrepancy,High,fraudulent charge|missing reward points,Fraud Team,Open fraud case and forward rewards issue to billing,We'll open fraud case and forward rewards issue to billing. You'll receive an update shortly.,,multi_intent,False,False,,
42,"I'm traveling next week so I need to set a travel notice, and also check if my card works internationally.",Account Update|Inquiry,Travel Notice + International Usage,Low,travel notice|international usage,Support Team,Set travel notice and confirm international card capability,"Per our Foreign Transaction & FX Policy, your card already works internationally by default -- a travel notice isn't required for functionality, but it does help prevent fraud-related declines while you're away. We'll set one up for your trip dates.",kb-002,multi_intent,False,True,,Needs international usage policy
43,Please cancel my recurring subscription payment and explain why I was charged a cancellation fee last time.,Account Update|Billing Issue,Cancellation + Fee Complaint,Medium,cancel subscription|cancellation fee,Billing Department,Cancel payment and review prior cancellation fee,"Per our Billing & Fees Policy, cancellation fees only apply within the first 90 days of enrollment. We'll check your enrollment date to see whether last time's fee was applied correctly.",kb-001,multi_intent,False,True,,Needs cancellation fee policy
44,"My account got locked after too many login attempts, and I also noticed a charge I don't recognize.",Account Access|Fraud Suspicion,Lockout + Suspicious Charge,High,account lockout|unrecognized charge,Fraud Team,Unlock after verification and investigate the charge,We'll unlock after verification and investigate the charge. You'll receive an update shortly.,,multi_intent,False,False,,
45,This isn't working.,,Unclear,Medium,,Support Team,Request clarification on what issue the customer is experiencing,We'll request clarification on what issue the customer is experiencing. You'll receive an update shortly.,,ambiguous,True,False,,
46,Can someone help me with my account?,Inquiry,Unclear,Low,,Support Team,Ask customer to specify the account issue,We'll ask customer to specify the account issue. You'll receive an update shortly.,,ambiguous,True,False,,
47,It's been a while and still nothing.,Complaint,Unclear,Medium,,Support Team,Request case reference or details to identify the pending issue,We'll request case reference or details to identify the pending issue. You'll receive an update shortly.,,ambiguous,True,False,,
48,I saw something weird on my statement.,Inquiry|Fraud Suspicion,Unclear,Medium,unspecified statement item,Support Team,Ask customer to specify the transaction in question,We'll ask customer to specify the transaction in question. You'll receive an update shortly.,,ambiguous,True,False,,
49,Not happy with the service lately.,Complaint,Unclear,Low,,Support Team,Ask for specific examples of service issues,We'll ask for specific examples of service issues. You'll receive an update shortly.,,ambiguous,True,False,,
50,Payment issue again.,Billing Issue,Unclear,Medium,,Billing Department,Request transaction details or date of the payment issue,We'll request transaction details or date of the payment issue. You'll receive an update shortly.,,ambiguous,True,False,,
51,Is this normal?,Inquiry,Unclear,Low,,Support Team,Ask what specific activity or charge the customer is referring to,We'll ask what specific activity or charge the customer is referring to. You'll receive an update shortly.,,ambiguous,True,False,,
52,Money's missing.,Complaint|Fraud Suspicion,Unclear,High,unspecified missing funds,Support Team,"Request amount, date, and transaction details to investigate","We'll request amount, date, and transaction details to investigate. You'll receive an update shortly.",,ambiguous,True,False,,
53,App won't do the thing.,Technical Issue,Unclear,Low,,Technical Support,Ask customer to describe the specific app function that failed,We'll ask customer to describe the specific app function that failed. You'll receive an update shortly.,,ambiguous,True,False,,
54,Card declined again lol not sure why.,Complaint|Inquiry,Card Decline,Medium,card decline,Support Team,"Request merchant, date, and amount to investigate decline reason","We'll request merchant, date, and amount to investigate decline reason. You'll receive an update shortly.",,ambiguous,True,False,,
55,"Hey, question about fees.",Inquiry,Unclear,Low,,Support Team,Ask which specific fee the customer wants to know about,"Happy to help -- could you tell me which specific fee you're asking about (maintenance, overdraft, late, or cancellation)? Our Billing & Fees Policy covers the criteria for each.",kb-001,ambiguous,True,True,,Fee schedule likely relevant once clarified
56,"Something's off with my last transfer, not sure what exactly.",Complaint|Inquiry,Unclear Transfer Issue,Medium,unspecified transfer issue,Support Team,"Request transfer date, amount, and recipient to investigate","We'll request transfer date, amount, and recipient to investigate. You'll receive an update shortly.",,ambiguous,True,False,,
57,"Charged me twice for the exact same purchase, need it fixed ASAP or I'm taking this further.",Billing Issue|Complaint,Duplicate Charge,High,duplicate transaction,Billing Department,Escalate and verify transaction logs,We'll escalate and verify transaction logs. You'll receive an update shortly.,,consistency_test,False,False,1,Paraphrase of message 1 -- ground truth should match; used to test output stability across rewordings.
58,Someone swiped my card info -- there's a $60 charge from a gas station in a state I've never been to.,Fraud Suspicion|Billing Issue,Unauthorized Transaction,Critical,$60 charge|out-of-state gas station,Fraud Team,Freeze card and open fraud case immediately,We'll freeze card and open fraud case immediately. You'll receive an update shortly.,,consistency_test,False,False,6,Paraphrase of message 6 -- ground truth should match; used to test output stability across rewordings.
59,I'd like to close out my savings account -- what do I need to do?,Account Closure,Account Closure Request,Low,account closure,Account Services,Provide account closure checklist and confirm identity,We'll provide account closure checklist and confirm identity. You'll receive an update shortly.,,consistency_test,False,False,15,Paraphrase of message 15 -- ground truth should match; used to test output stability across rewordings.
60,"Can't get into my online banking at all, password reset isn't fixing it.",Fraud Suspicion|Security Concern,Vishing Attempt,High,phone scam attempt,Fraud Team,"Confirm no data was shared, flag account for monitoring","We'll confirm no data was shared, flag account for monitoring. You'll receive an update shortly.",,consistency_test,False,False,24,Paraphrase of message 24 -- ground truth should match; used to test output stability across rewordings.
61,This is my third message about the exact same problem and it's still broken.,Account Issue|Complaint,Account Freeze - Urgent,Critical,frozen account|rent due today,Support Team,Prioritize review of freeze reason and expedite resolution,We'll prioritize review of freeze reason and expedite resolution. You'll receive an update shortly.,,consistency_test,False,False,30,Paraphrase of message 30 -- ground truth should match; used to test output stability across rewordings.
62,"Ugh, card got declined AGAIN and I have no idea why.",Inquiry,Unclear,Low,,Support Team,Ask what specific activity or charge the customer is referring to,We'll ask what specific activity or charge the customer is referring to. You'll receive an update shortly.,,consistency_test,True,False,51,Paraphrase of message 51 -- ground truth should match; used to test output stability across rewordings.
